timestamp,training_end,threshold_selected_pre_event,predicted_probability,predicted_class,actual_future_6h_rain,actual_target,predicted_amount_mm
2021-11-20 19:00:00,2021-10-31 23:00:00,0.95,0.0001647778263,0,11.6,0,1.97115922
2021-11-20 20:00:00,2021-10-31 23:00:00,0.95,0.001805888372,0,11.2,0,4.32827425
2021-11-20 21:00:00,2021-10-31 23:00:00,0.95,0.01928473264,0,6.7,0,6.088523388
2021-11-20 22:00:00,2021-10-31 23:00:00,0.95,0.008063261397,0,6.4,0,5.141278744
2021-11-20 23:00:00,2021-10-31 23:00:00,0.95,0.01564085111,0,5.4,0,4.762475014
2021-11-21 00:00:00,2021-10-31 23:00:00,0.95,0.03434552997,0,0.6,0,7.67250824
2021-11-21 01:00:00,2021-10-31 23:00:00,0.95,0.0006750658504,0,0.4,0,2.870185852
2021-11-21 02:00:00,2021-10-31 23:00:00,0.95,0.0007231736672,0,0.2,0,3.206512451
2021-11-21 03:00:00,2021-10-31 23:00:00,0.95,0.0004498018534,0,0.1,0,2.640980482
2021-11-21 04:00:00,2021-10-31 23:00:00,0.95,0.000311294134,0,0.1,0,0.5786698461
2021-11-21 05:00:00,2021-10-31 23:00:00,0.95,0.0003653698077,0,0.2,0,0.3190018237
2021-11-21 06:00:00,2021-10-31 23:00:00,0.95,0.0002102031285,0,0.2,0,0.3407533169
2021-11-21 07:00:00,2021-10-31 23:00:00,0.95,0.0009488215437,0,0.4,0,1.122823358
2021-11-21 08:00:00,2021-10-31 23:00:00,0.95,0.0001227039465,0,0.3,0,2.125712395
2021-11-21 09:00:00,2021-10-31 23:00:00,0.95,0.0001955670887,0,0.3,0,2.048381805
2021-11-21 10:00:00,2021-10-31 23:00:00,0.95,0.0003048210056,0,0.3,0,1.380566955
2021-11-21 11:00:00,2021-10-31 23:00:00,0.95,0.000230236561,0,0.2,0,1.922717452
2021-11-21 12:00:00,2021-10-31 23:00:00,0.95,5.608299034e-05,0,0.2,0,1.221581101
2021-11-21 13:00:00,2021-10-31 23:00:00,0.95,1.28292495e-05,0,0,0,1.412277222
2021-11-21 14:00:00,2021-10-31 23:00:00,0.95,4.833826824e-05,0,0,0,0.7591795325
2021-11-21 15:00:00,2021-10-31 23:00:00,0.95,0.0004185990838,0,0,0,0.4665489793
2021-11-21 16:00:00,2021-10-31 23:00:00,0.95,0.0001923653908,0,0,0,0.4838826358
2021-11-21 17:00:00,2021-10-31 23:00:00,0.95,0.000326035195,0,0,0,0.9875345826
2021-11-21 18:00:00,2021-10-31 23:00:00,0.95,0.0001718797139,0,0,0,2.141588926
2021-11-21 19:00:00,2021-10-31 23:00:00,0.95,0.0001833104616,0,2.4,0,2.182335377
2021-11-21 20:00:00,2021-10-31 23:00:00,0.95,0.0002651076647,0,2.9,0,2.018698215
2021-11-21 21:00:00,2021-10-31 23:00:00,0.95,0.0003022164165,0,5,0,1.902420521
2021-11-21 22:00:00,2021-10-31 23:00:00,0.95,0.0002740154159,0,6,0,1.359064698
2021-11-21 23:00:00,2021-10-31 23:00:00,0.95,0.0003296507639,0,6.5,0,1.083840728
2021-11-22 00:00:00,2021-10-31 23:00:00,0.95,4.092102608e-05,0,6.6,0,1.030107617
2021-11-22 01:00:00,2021-10-31 23:00:00,0.95,0.0001738401043,0,4.2,0,3.164369822
2021-11-22 02:00:00,2021-10-31 23:00:00,0.95,0.0005112403887,0,3.7,0,1.877749205
2021-11-22 03:00:00,2021-10-31 23:00:00,0.95,0.002144207014,0,1.6,0,3.828469992
2021-11-22 04:00:00,2021-10-31 23:00:00,0.95,0.0003452405217,0,0.6,0,3.109710217
2021-11-22 05:00:00,2021-10-31 23:00:00,0.95,0.00124484452,0,0.1,0,3.892766237
2021-11-22 06:00:00,2021-10-31 23:00:00,0.95,0.0002463714045,0,1.1,0,2.043251038
2021-11-22 07:00:00,2021-10-31 23:00:00,0.95,6.312852202e-05,0,4.3,0,1.305222154
2021-11-22 08:00:00,2021-10-31 23:00:00,0.95,3.397968248e-05,0,4.5,0,0.815310061
2021-11-22 09:00:00,2021-10-31 23:00:00,0.95,3.532722985e-05,0,4.5,0,0.2131219953
2021-11-22 10:00:00,2021-10-31 23:00:00,0.95,6.952435797e-05,0,4.5,0,0.4634259939
2021-11-22 11:00:00,2021-10-31 23:00:00,0.95,2.004700946e-05,0,4.6,0,0.3009517491
2021-11-22 12:00:00,2021-10-31 23:00:00,0.95,2.35509342e-05,0,3.5,0,2.327632189
2021-11-22 13:00:00,2021-10-31 23:00:00,0.95,0.0007169924211,0,0.3,0,1.219047904
2021-11-22 14:00:00,2021-10-31 23:00:00,0.95,0.0001400822948,0,0.1,0,2.047270298
2021-11-22 15:00:00,2021-10-31 23:00:00,0.95,0.0001455669117,0,0.6,0,0.9241840243
2021-11-22 16:00:00,2021-10-31 23:00:00,0.95,0.0001365353673,0,0.7,0,0.5098617673
2021-11-22 17:00:00,2021-10-31 23:00:00,0.95,0.0002218610025,0,0.6,0,1.189633608
2021-11-22 18:00:00,2021-10-31 23:00:00,0.95,0.0001334975095,0,0.6,0,0.7915691137
2021-11-22 19:00:00,2021-10-31 23:00:00,0.95,0.0001228416222,0,1.2,0,1.106557727
2021-11-22 20:00:00,2021-10-31 23:00:00,0.95,0.0007053272566,0,1.3,0,1.647574544
2021-11-22 21:00:00,2021-10-31 23:00:00,0.95,0.003690188983,0,0.8,0,3.004345894
2021-11-22 22:00:00,2021-10-31 23:00:00,0.95,0.001560826786,0,0.7,0,2.37182641
2021-11-22 23:00:00,2021-10-31 23:00:00,0.95,0.002914178418,0,0.7,0,2.160645008
2021-11-23 00:00:00,2021-10-31 23:00:00,0.95,0.0004023816728,0,0.7,0,1.216315031
2021-11-23 01:00:00,2021-10-31 23:00:00,0.95,0.001133928075,0,0.1,0,2.953869581
2021-11-23 02:00:00,2021-10-31 23:00:00,0.95,0.0001061835501,0,0.1,0,1.371015429
2021-11-23 03:00:00,2021-10-31 23:00:00,0.95,9.081427379e-06,0,0.3,0,0.6754325032
2021-11-23 04:00:00,2021-10-31 23:00:00,0.95,3.894774636e-05,0,0.5,0,0.6611788869
2021-11-23 05:00:00,2021-10-31 23:00:00,0.95,0.0001504468528,0,0.6,0,0.5068668723
2021-11-23 06:00:00,2021-10-31 23:00:00,0.95,0.0003147249809,0,0.6,0,0.4914277196
2021-11-23 07:00:00,2021-10-31 23:00:00,0.95,0.0001239554549,0,0.6,0,0.6825270057
2021-11-23 08:00:00,2021-10-31 23:00:00,0.95,8.68102652e-05,0,0.5,0,1.245319366
2021-11-23 09:00:00,2021-10-31 23:00:00,0.95,6.211313303e-05,0,0.3,0,1.568790555
2021-11-23 10:00:00,2021-10-31 23:00:00,0.95,8.26816904e-05,0,0.1,0,1.622585297
2021-11-23 11:00:00,2021-10-31 23:00:00,0.95,3.274964183e-05,0,0,0,0.9100250602
2021-11-23 12:00:00,2021-10-31 23:00:00,0.95,1.462051932e-05,0,0,0,0.180362165
2021-11-23 13:00:00,2021-10-31 23:00:00,0.95,9.641261386e-06,0,0,0,0.12951985
